onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	AC	0.83	2	0	0	1	n/a	0	6601	1
10.87	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
12.28	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
12.50	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
16.77	4.00	AA	0.77	3	0	0	0	n/a	1	6602	2
17.53	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
18.77	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
19.05	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
19.27	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
23.75	4.00	AA	0.97	1	0	0	0	n/a	1	6603	3
24.72	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
25.58	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
25.82	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
26.02	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
26.22	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
27.30	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
32.35	4.00	CC	0.93	2	0	1	1	n/a	1	6604	4
33.28	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
34.33	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
40.93	4.00	AA	0.77	1	0	0	0	n/a	1	6605	5
41.70	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
42.77	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
43.03	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
43.25	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
49.37	4.00	AA	0.78	1	0	0	0	n/a	1	6606	6
50.15	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
57.45	4.00	CC	0.77	2	0	1	1	n/a	1	6607	7
58.22	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
59.67	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
64.35	4.00	CC	0.85	3	0	1	1	n/a	1	6608	8
65.20	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
66.25	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
70.53	4.00	CC	0.73	2	0	1	1	n/a	1	6609	9
71.27	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
72.47	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
72.70	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
72.92	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
78.70	4.00	AA	0.90	3	0	0	0	n/a	1	6610	10
79.60	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
80.78	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
81.05	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
81.45	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
87.40	4.00	CC	0.72	3	0	1	1	n/a	1	6611	11
88.12	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
89.63	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
89.98	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
95.78	4.00	AA	0.82	4	0	0	0	n/a	1	6612	12
96.60	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
97.65	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
98.30	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
102.50	4.00	CC	0.87	4	0	1	1	n/a	1	6613	13
103.37	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
105.00	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
111.22	4.00	CC	0.83	4	0	1	1	n/a	1	6614	14
112.05	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
113.53	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
117.27	4.00	AA	0.80	5	0	0	0	n/a	1	6615	15
118.07	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
119.60	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
126.33	4.00	AC	0.85	2	0	0	1	n/a	1	6616	16
127.18	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
128.10	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
128.38	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
133.42	4.00	CC	0.80	2	0	1	1	n/a	1	6617	17
134.22	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
135.38	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
142.60	4.00	AA	0.85	1	0	0	0	n/a	1	6618	18
143.45	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
144.52	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
144.77	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
144.97	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
145.17	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
145.37	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
150.40	4.00	CC	0.80	3	0	1	1	n/a	1	6619	19
151.20	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
152.53	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
152.80	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
153.38	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
153.67	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
154.20	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
159.05	4.00	CC	0.83	1	0	1	1	n/a	1	6620	20
159.88	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
166.55	4.00	CC	0.68	2	0	1	1	n/a	1	6621	21
167.23	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
168.54	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
168.82	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
173.33	4.00	AA	1.12	3	0	0	0	n/a	1	6622	22
174.45	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
175.43	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
175.65	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
175.85	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
176.03	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
177.30	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
180.20	4.00	AA	1.18	2	0	0	0	n/a	1	6623	23
181.38	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
182.97	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
186.93	4.00	CC	0.82	3	0	1	1	n/a	1	6624	24
187.75	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
189.05	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
194.02	4.00	CC	0.70	2	0	1	1	n/a	1	6625	25
194.72	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
201.60	4.00	AA	0.82	2	0	0	0	n/a	1	6626	26
202.42	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
