onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	2	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	TT	0.64	5	2	1	1	n/a	0	5701	1
10.68	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
12.05	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
16.08	4.00	VT	1.17	3	2	0	1	n/a	1	5702	2
17.25	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
21.98	4.00	VV	0.65	3	2	0	0	n/a	1	5703	3
22.63	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
23.84	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
24.10	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
24.33	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
30.40	4.00	VV	1.10	2	2	0	0	n/a	1	5704	4
31.50	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
32.52	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
38.82	4.00	TT	0.82	4	2	1	1	n/a	1	5705	5
39.63	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
40.72	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
40.98	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
41.25	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
44.90	4.00	VV	0.88	3	2	0	0	n/a	1	5706	6
45.78	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
54.02	4.00	TT	0.70	6	2	1	1	n/a	1	5707	7
54.72	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
55.87	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
56.10	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
56.30	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
56.68	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
56.92	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
61.60	4.00	VV	0.92	5	2	0	0	n/a	1	5708	8
62.52	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
68.00	4.00	TV	0.83	4	2	1	0	n/a	1	5709	9
68.83	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
70.12	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
70.38	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
75.28	4.00	VV	0.95	3	2	0	0	n/a	1	5710	10
76.23	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
77.18	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
82.43	4.00	TT	0.63	6	2	1	1	n/a	1	5711	11
83.07	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
84.30	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
88.72	4.00	TT	0.98	5	2	1	1	n/a	1	5712	12
89.70	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
90.63	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
90.88	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
91.08	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
91.30	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
94.32	4.00	VV	0.97	3	2	0	0	n/a	1	5713	13
95.28	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
97.37	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
100.93	4.00	VV	0.88	2	2	0	0	n/a	1	5714	14
101.82	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
109.00	4.00	TV	1.05	2	2	1	0	n/a	1	5715	15
110.05	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
111.15	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
111.43	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
111.65	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
112.35	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
114.91	4.00	TV	0.99	2	2	1	0	n/a	1	5716	16
115.90	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
117.06	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
117.34	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
122.37	4.00	VT	1.20	2	2	0	1	n/a	1	5717	17
123.57	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
124.38	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
124.64	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
124.87	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
130.37	4.00	VV	1.00	2	2	0	0	n/a	1	5718	18
131.37	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
132.30	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
132.57	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
132.82	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
133.05	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
137.48	4.00	TT	1.00	6	2	1	1	n/a	1	5719	19
138.48	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
139.38	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
146.61	4.00	TV	0.92	3	2	1	0	n/a	1	5720	20
147.53	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
148.65	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
155.70	4.00	VV	0.95	3	2	0	0	n/a	1	5721	21
156.65	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
157.66	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
157.93	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
162.83	4.00	TT	0.88	3	2	1	1	n/a	1	5722	22
163.72	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
165.32	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
169.07	4.00	TT	1.00	4	2	1	1	n/a	1	5723	23
170.07	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
171.20	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
175.35	4.00	VT	0.98	3	2	0	1	n/a	1	5724	24
176.33	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
177.28	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
178.02	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
184.62	4.00	VT	1.03	3	2	0	1	n/a	1	5725	25
185.65	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
191.57	4.00	TT	0.70	6	2	1	1	n/a	1	5726	26
192.27	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
193.38	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
196.57	5.00	instructions	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a
207.33	4.00	CC	0.58	6	0	1	1	n/a	0	5727	27
207.92	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
209.35	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
209.60	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
209.83	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
210.05	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
215.40	4.00	AA	1.12	3	0	0	0	n/a	1	5728	28
216.52	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
223.30	4.00	CC	0.63	4	0	1	1	n/a	1	5729	29
223.93	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
225.28	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
225.58	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
225.83	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
231.08	4.00	CC	1.02	4	0	1	1	n/a	1	5730	30
232.10	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
233.38	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
239.45	4.00	AA	0.90	4	0	0	0	n/a	1	5731	31
