onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	CC	1.08	3	0	1	1	n/a	0	12601	1
11.12	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
12.23	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
12.53	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
17.67	4.00	CC	1.15	3	0	1	1	n/a	1	12602	2
18.82	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
19.82	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
24.42	4.00	CA	1.13	2	0	1	0	n/a	1	12603	3
25.55	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
30.27	4.00	AA	1.10	3	0	0	0	n/a	1	12604	4
31.37	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
32.20	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
32.47	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
33.07	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
38.15	4.00	CC	1.18	3	0	1	1	n/a	1	12605	5
39.33	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
40.92	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
46.87	4.00	CA	1.13	3	0	1	0	n/a	1	12606	6
48.00	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
49.05	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
49.40	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
54.53	4.00	AA	0.98	2	0	0	0	n/a	1	12607	7
55.52	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
56.37	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
61.17	4.00	AA	0.98	2	0	0	0	n/a	1	12608	8
62.15	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
