onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	NN	1.47	1	1	0	0	n/a	0	2801	1
11.51	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
16.43	4.00	YY	0.91	6	1	1	1	n/a	1	2802	2
17.35	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
18.27	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
18.55	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
18.78	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
19.02	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
19.20	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
23.47	4.00	YY	0.90	2	1	1	1	n/a	1	2803	3
24.37	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
25.32	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
25.55	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
26.17	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
26.55	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
31.92	4.00	NN	1.37	1	1	0	0	n/a	1	2804	4
33.28	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
33.92	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
34.18	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
34.43	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
40.30	4.00	NY	0.95	1	1	0	1	n/a	1	2805	5
41.25	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
42.02	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
42.27	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
46.15	4.00	YY	1.08	1	1	1	1	n/a	1	2806	6
47.23	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
48.07	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
54.75	4.00	NY	0.87	1	1	0	1	n/a	1	2807	7
55.62	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
56.40	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
60.62	4.00	NN	0.90	3	1	0	0	n/a	1	2808	8
61.52	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
62.80	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
63.12	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
63.98	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
69.10	4.00	YY	0.88	6	1	1	1	n/a	1	2809	9
69.98	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
70.63	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
70.87	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
71.08	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
71.27	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
71.45	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
75.53	4.00	YY	0.93	1	1	1	1	n/a	1	2810	10
76.47	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
77.08	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
77.33	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
81.70	4.00	NN	0.98	3	1	0	0	n/a	1	2811	11
82.68	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
88.37	4.00	NN	0.86	3	1	0	0	n/a	1	2812	12
89.23	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
90.35	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
90.67	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
90.92	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
94.50	4.00	YY	1.00	1	1	1	1	n/a	1	2813	13
95.50	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
96.42	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
102.07	4.00	NN	0.93	3	1	0	0	n/a	1	2814	14
103.00	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
104.07	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
104.55	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
105.13	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
111.25	4.00	NN	1.03	1	1	0	0	n/a	1	2815	15
112.28	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
113.03	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
113.30	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
113.55	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
117.38	4.00	NY	1.05	1	1	0	1	n/a	1	2816	16
118.43	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
119.18	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
119.42	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
119.63	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
123.08	4.00	NN	0.90	6	1	0	0	n/a	1	2817	17
123.98	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
124.73	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
130.08	4.00	NN	0.91	6	1	0	0	n/a	1	2818	18
131.00	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
137.73	4.00	YY	0.83	3	1	1	1	n/a	1	2819	19
138.57	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
145.12	4.00	YY	1.03	2	1	1	1	n/a	1	2820	20
146.15	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
147.60	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
147.98	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
148.42	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
148.75	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
152.42	4.00	YY	1.02	2	1	1	1	n/a	1	2821	21
153.43	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
161.48	4.00	YY	0.85	1	1	1	1	n/a	1	2822	22
162.33	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
163.32	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
169.37	4.00	NN	0.83	2	1	0	0	n/a	1	2823	23
170.20	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
172.63	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
177.30	4.00	YY	0.83	6	1	1	1	n/a	1	2824	24
178.13	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
178.85	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
179.23	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
179.48	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
186.32	4.00	YY	0.98	2	1	1	1	n/a	1	2825	25
187.30	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
191.92	4.00	YY	0.92	1	1	1	1	n/a	1	2826	26
192.83	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
193.58	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
193.90	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
194.15	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
194.48	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
196.92	5.00	instructions	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a
209.80	4.00	AC	0.88	3	0	0	1	n/a	0	2827	27
210.68	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
212.12	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
217.58	4.00	AA	1.15	1	0	0	0	n/a	1	2828	28
218.73	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
219.92	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
220.53	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
220.87	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
221.12	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
225.22	4.00	CC	0.99	1	0	1	1	n/a	1	2829	29
226.20	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
227.20	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
232.08	4.00	CC	0.95	1	0	1	1	n/a	1	2830	30
233.03	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
234.32	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
234.58	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
239.22	4.00	CC	0.92	1	0	1	1	n/a	1	2831	31
240.13	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
241.02	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
247.90	4.00	CC	0.82	2	0	1	1	n/a	1	2832	32
248.72	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
255.38	4.00	AC	1.03	6	0	0	1	n/a	1	2833	33
256.42	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
262.55	4.00	AC	0.82	6	0	0	1	n/a	1	2834	34
263.37	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
265.30	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
271.10	4.00	AA	0.87	6	0	0	0	n/a	1	2835	35
271.97	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
273.07	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
273.33	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
273.57	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
279.57	4.00	CC	0.97	2	0	1	1	n/a	1	2836	36
280.53	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
285.37	4.00	AA	1.30	1	0	0	0	n/a	1	2837	37
286.67	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
287.71	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
