onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	NN	1.01	4	1	0	0	n/a	0	22101	1
11.05	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
12.27	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
12.67	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
16.50	4.00	YY	0.96	3	1	1	1	n/a	1	22102	2
17.47	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
18.39	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
18.82	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
23.08	4.00	YY	0.82	4	1	1	1	n/a	1	22103	3
23.90	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
30.62	4.00	YN	0.92	5	1	1	0	n/a	1	22104	4
31.53	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
32.88	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
33.42	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
39.30	4.00	NN	0.88	4	1	0	0	n/a	1	22105	5
40.18	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
41.63	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
48.15	4.00	YY	1.10	4	1	1	1	n/a	1	22106	6
49.25	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
50.53	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
51.32	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
55.78	4.00	YY	0.92	3	1	1	1	n/a	1	22107	7
56.70	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
58.15	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
58.62	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
58.83	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
59.03	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
62.38	4.00	NN	0.95	3	1	0	0	n/a	1	22108	8
63.33	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
64.90	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
68.98	4.00	YY	1.13	1	1	1	1	n/a	1	22109	9
70.12	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
71.95	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
77.70	4.00	NN	1.07	1	1	0	0	n/a	1	22110	10
78.77	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
86.03	4.00	NN	0.90	5	1	0	0	n/a	1	22111	11
86.93	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
87.98	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
88.18	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
88.67	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
91.65	4.00	NN	0.97	4	1	0	0	n/a	1	22112	12
92.62	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
