onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	NN	1.15	3	1	0	0	n/a	0	18301	1
11.20	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
12.42	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
16.60	4.00	YY	1.23	3	1	1	1	n/a	1	18302	2
17.83	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
18.73	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
22.92	4.00	NN	0.97	5	1	0	0	n/a	1	18303	3
23.88	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
24.88	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
29.50	4.00	YY	1.05	4	1	1	1	n/a	1	18304	4
30.55	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
31.98	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
32.85	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
38.20	4.00	NN	1.20	5	1	0	0	n/a	1	18305	5
39.40	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
45.77	4.00	missed_trial	n/a	n/a	1	0	n/a	n/a	1	18306	6
47.93	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
52.75	4.00	NN	1.00	4	1	0	0	n/a	1	18307	7
53.75	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
54.75	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
55.00	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
55.73	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
60.80	4.00	YN	0.97	5	1	1	0	n/a	1	18308	8
61.77	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
62.63	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
63.05	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
67.05	4.00	NY	1.12	3	1	0	1	n/a	1	18309	9
68.17	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
68.90	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
69.17	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
74.50	4.00	YN	1.23	5	1	1	0	n/a	1	18310	10
75.73	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
82.00	4.00	YY	1.30	5	1	1	1	n/a	1	18311	11
83.30	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
90.87	4.00	NN	1.08	3	1	0	0	n/a	1	18312	12
91.95	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
92.95	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
93.33	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
94.22	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
96.55	4.00	NN	1.23	4	1	0	0	n/a	1	18313	13
97.78	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
102.25	4.00	NY	1.15	4	1	0	1	n/a	1	18314	14
103.40	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
104.83	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
105.22	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
109.03	4.00	NN	1.25	2	1	0	0	n/a	1	18315	15
110.28	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
117.21	4.00	YN	1.20	3	1	1	0	n/a	1	18316	16
118.42	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
120.35	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
125.12	4.00	NN	1.30	2	1	0	0	n/a	1	18317	17
126.42	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
127.20	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
133.93	4.00	YY	0.97	2	1	1	1	n/a	1	18318	18
134.90	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
136.80	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
141.97	4.00	YY	1.20	6	1	1	1	n/a	1	18319	19
143.17	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
143.87	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
150.67	4.00	YN	1.28	3	1	1	0	n/a	1	18320	20
151.95	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
157.87	4.00	YN	1.13	2	1	1	0	n/a	1	18321	21
159.00	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
163.67	4.00	YN	1.25	3	1	1	0	n/a	1	18322	22
164.92	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
165.85	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
166.17	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
170.05	4.00	NY	1.12	2	1	0	1	n/a	1	18323	23
171.17	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
172.28	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
175.75	4.00	YY	0.95	4	1	1	1	n/a	1	18324	24
176.70	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
177.82	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
184.05	4.00	NN	1.08	1	1	0	0	n/a	1	18325	25
185.13	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
192.67	4.00	missed_trial	n/a	n/a	1	1	n/a	n/a	1	18326	26
197.67	5.00	instructions	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a
211.00	4.00	CA	1.11	3	0	1	0	n/a	0	18327	27
212.12	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
213.13	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
213.90	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
217.95	4.00	CC	1.12	2	0	1	1	n/a	1	18328	28
219.07	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
220.20	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
225.30	4.00	CC	0.98	4	0	1	1	n/a	1	18329	29
226.28	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
227.43	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
227.72	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
232.82	4.00	AA	1.00	4	0	0	0	n/a	1	18330	30
233.82	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
235.12	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
235.52	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
235.85	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
241.32	4.00	CC	1.23	4	0	1	1	n/a	1	18331	31
242.55	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
244.78	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
247.73	4.00	CA	1.13	3	0	1	0	n/a	1	18332	32
248.87	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
250.38	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
255.65	4.00	CC	1.33	4	0	1	1	n/a	1	18333	33
256.98	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
257.97	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
262.25	4.00	AA	0.77	5	0	0	0	n/a	1	18334	34
263.02	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
269.93	4.00	missed_trial	n/a	n/a	0	1	n/a	n/a	1	18335	35
277.73	4.00	AC	1.10	3	0	0	1	n/a	1	18336	36
278.83	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
280.08	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
284.27	4.00	CA	1.02	4	0	1	0	n/a	1	18337	37
285.28	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
286.20	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
286.42	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
286.63	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
293.02	4.00	CA	0.83	3	0	1	0	n/a	1	18338	38
293.85	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
299.82	4.00	AC	1.00	2	0	0	1	n/a	1	18339	39
300.82	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
307.70	4.00	AA	0.98	6	0	0	0	n/a	1	18340	40
308.68	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
310.15	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
316.15	4.00	AA	1.35	4	0	0	0	n/a	1	18341	41
317.50	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
318.38	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
318.68	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
323.28	4.00	CC	1.10	3	0	1	1	n/a	1	18342	42
324.38	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
325.25	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
330.68	4.00	AA	1.40	2	0	0	0	n/a	1	18343	43
332.08	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
333.18	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
333.58	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
339.55	4.00	CA	1.13	2	0	1	0	n/a	1	18344	44
340.68	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
341.85	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
342.18	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
345.53	4.00	missed_trial	n/a	n/a	0	0	n/a	n/a	1	18345	45
347.37	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
352.68	4.00	AA	1.05	1	0	0	0	n/a	1	18346	46
353.73	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
354.58	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
354.87	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
355.12	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
355.60	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
358.60	4.00	AC	1.25	1	0	0	1	n/a	1	18347	47
359.85	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
361.03	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
361.33	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
367.10	4.00	CC	1.15	1	0	1	1	n/a	1	18348	48
368.25	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
369.47	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
369.82	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
370.13	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
370.68	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
370.90	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
372.92	4.00	CC	1.47	3	0	1	1	n/a	1	18349	49
374.38	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
381.58	4.00	AA	1.22	4	0	0	0	n/a	1	18350	50
382.80	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
383.90	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
390.33	4.00	AA	1.27	6	0	0	0	n/a	1	18351	51
391.60	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
396.78	4.00	AA	1.30	4	0	0	0	n/a	1	18352	52
398.08	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
399.07	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
