onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	AA	1.04	5	0	0	0	n/a	0	21101	1
11.08	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
12.08	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
15.80	4.00	AA	0.76	6	0	0	0	n/a	1	21102	2
16.57	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
17.45	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
17.88	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
18.28	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
21.80	4.00	CC	0.98	1	0	1	1	n/a	1	21103	3
22.78	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
24.35	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
29.43	4.00	AA	0.68	5	0	0	0	n/a	1	21104	4
30.12	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
31.88	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
38.03	4.00	CA	0.85	5	0	1	0	n/a	1	21105	5
38.88	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
40.37	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
43.75	4.00	AA	0.93	6	0	0	0	n/a	1	21106	6
44.68	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
45.63	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
46.10	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
46.58	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
50.83	4.00	AA	0.70	5	0	0	0	n/a	1	21107	7
51.53	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
53.25	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
57.88	4.00	CA	0.78	5	0	1	0	n/a	1	21108	8
58.67	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
60.35	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
66.72	4.00	AA	0.87	5	0	0	0	n/a	1	21109	9
67.58	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
69.22	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
72.58	4.00	AA	0.93	4	0	0	0	n/a	1	21110	10
73.52	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
74.98	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
75.45	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
80.90	4.00	CC	0.88	4	0	1	1	n/a	1	21111	11
81.78	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
87.98	4.00	AA	0.80	6	0	0	0	n/a	1	21112	12
88.78	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
90.37	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
90.95	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
91.45	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
95.83	4.00	CA	0.87	6	0	1	0	n/a	1	21113	13
96.70	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
97.92	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
98.42	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
98.87	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
101.75	4.00	AA	0.78	5	0	0	0	n/a	1	21114	14
102.53	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
103.77	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
104.32	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
108.23	4.00	AA	0.85	4	0	0	0	n/a	1	21115	15
109.08	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
110.48	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
111.03	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
111.63	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
115.80	4.00	CC	1.05	2	0	1	1	n/a	1	21116	16
116.85	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
118.08	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
118.63	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
119.20	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
123.40	4.00	CC	1.12	2	0	1	1	n/a	1	21117	17
124.52	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
125.60	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
131.35	4.00	AA	0.75	6	0	0	0	n/a	1	21118	18
132.10	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
133.28	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
133.77	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
134.23	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
134.63	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
135.00	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
139.88	4.00	AA	0.90	6	0	0	0	n/a	1	21119	19
140.78	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
141.78	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
142.28	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
146.58	4.00	AA	0.97	5	0	0	0	n/a	1	21120	20
147.55	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
148.97	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
