onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	YY	0.94	6	1	1	1	n/a	0	14601	1
10.98	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
11.93	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
12.27	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
17.50	4.00	YY	0.95	6	1	1	1	n/a	1	14602	2
18.45	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
19.34	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
19.63	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
19.90	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
20.15	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
20.45	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
23.98	4.00	YY	0.88	6	1	1	1	n/a	1	14603	3
24.87	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
25.62	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
25.92	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
26.18	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
26.47	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
32.22	4.00	YY	0.90	6	1	1	1	n/a	1	14604	4
33.12	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
34.07	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
34.32	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
34.60	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
34.85	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
38.73	4.00	YY	0.88	5	1	1	1	n/a	1	14605	5
39.62	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
41.02	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
44.55	4.00	NY	1.27	4	1	0	1	n/a	1	14606	6
45.82	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
47.15	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
