onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	YY	0.97	6	1	1	1	n/a	0	10901	1
11.02	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
11.85	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
16.70	4.00	YY	1.15	6	1	1	1	n/a	1	10902	2
17.85	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
22.48	4.00	NN	0.80	6	1	0	0	n/a	1	10903	3
23.28	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
24.35	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
24.62	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
24.83	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
25.03	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
31.75	4.00	NN	0.85	6	1	0	0	n/a	1	10904	4
32.60	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
33.67	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
40.32	4.00	YY	0.82	6	1	1	1	n/a	1	10905	5
41.13	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
42.13	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
42.40	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
49.23	4.00	NN	0.82	6	1	0	0	n/a	1	10906	6
50.05	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
54.97	4.00	YY	1.00	6	1	1	1	n/a	1	10907	7
55.97	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
57.05	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
57.32	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
63.00	4.00	YY	0.90	3	1	1	1	n/a	1	10908	8
63.90	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
65.03	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
65.40	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
69.17	4.00	NN	0.83	6	1	0	0	n/a	1	10909	9
70.00	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
70.52	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
70.98	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
71.22	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
71.38	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
71.58	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
71.78	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
76.13	4.00	NN	0.88	5	1	0	0	n/a	1	10910	10
77.02	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
78.10	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
85.13	4.00	NN	0.93	6	1	0	0	n/a	1	10911	11
86.07	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
