onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	AA	1.11	3	0	0	0	n/a	0	20501	1
11.15	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
12.33	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
12.63	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
12.83	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
13.07	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
18.68	4.00	AA	1.10	5	0	0	0	n/a	1	20502	2
19.78	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
20.63	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
21.00	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
21.25	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
21.75	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
24.38	4.00	AC	1.35	4	0	0	1	n/a	1	20503	3
25.47	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
25.73	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
26.80	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
31.43	4.00	AA	0.98	4	0	0	0	n/a	1	20504	4
32.42	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
33.42	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
33.72	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
34.13	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
39.17	4.00	AA	0.97	5	0	0	0	n/a	1	20505	5
40.13	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
40.85	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
41.25	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
41.72	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
42.63	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
45.02	4.00	AA	1.20	4	0	0	0	n/a	1	20506	6
46.22	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
47.25	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
51.73	4.00	AC	1.07	5	0	0	1	n/a	1	20507	7
52.80	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
53.63	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
53.93	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
59.47	4.00	CC	1.27	6	0	1	1	n/a	1	20508	8
60.43	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
60.73	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
61.58	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
62.17	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
66.80	4.00	CC	0.85	5	0	1	1	n/a	1	20509	9
67.65	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
68.67	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
73.75	4.00	AC	1.28	5	0	0	1	n/a	1	20510	10
75.03	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
81.42	4.00	CC	0.87	5	0	1	1	n/a	1	20511	11
