onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	YN	1.10	2	1	1	0	n/a	0	15601	1
11.15	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
12.40	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
18.12	4.00	YN	1.20	1	1	1	0	n/a	1	15602	2
19.32	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
20.60	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
25.22	4.00	YY	0.84	6	1	1	1	n/a	1	15603	3
26.05	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
26.82	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
27.02	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
27.25	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
27.47	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
27.67	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
27.83	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
33.83	4.00	YY	0.90	5	1	1	1	n/a	1	15604	4
34.73	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
35.78	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
36.12	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
36.37	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
36.55	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
36.98	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
39.67	4.00	NN	0.88	5	1	0	0	n/a	1	15605	5
40.55	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
41.88	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
42.38	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
45.92	4.00	NN	1.08	6	1	0	0	n/a	1	15606	6
47.00	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
47.75	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
48.02	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
48.20	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
48.38	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
54.57	4.00	YY	0.95	4	1	1	1	n/a	1	15607	7
55.52	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
57.25	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
60.80	4.00	NN	0.95	5	1	0	0	n/a	1	15608	8
61.75	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
62.97	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
63.23	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
63.47	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
68.12	4.00	YN	1.12	1	1	1	0	n/a	1	15609	9
69.23	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
70.23	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
76.35	4.00	YY	0.93	5	1	1	1	n/a	1	15610	10
77.28	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
78.22	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
78.55	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
78.78	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
79.80	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
80.17	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
84.18	4.00	NN	1.07	2	1	0	0	n/a	1	15611	11
85.25	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
86.02	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
86.37	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
86.87	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
92.48	4.00	NN	1.05	6	1	0	0	n/a	1	15612	12
93.53	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
94.15	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
94.38	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
100.23	4.00	YY	1.42	5	1	1	1	n/a	1	15613	13
101.65	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
102.27	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
102.46	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
107.45	4.00	YY	0.95	4	1	1	1	n/a	1	15614	14
108.40	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
114.68	4.00	NN	0.87	4	1	0	0	n/a	1	15615	15
115.55	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
116.75	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
117.12	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
121.00	4.00	YN	1.02	4	1	1	0	n/a	1	15616	16
122.02	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
123.22	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
128.75	4.00	NN	1.03	5	1	0	0	n/a	1	15617	17
129.78	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
130.55	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
131.03	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
131.27	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
135.18	4.00	YN	1.03	3	1	1	0	n/a	1	15618	18
136.22	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
137.37	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
143.28	4.00	YY	1.10	4	1	1	1	n/a	1	15619	19
144.38	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
145.33	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
151.43	4.00	YN	1.08	4	1	1	0	n/a	1	15620	20
152.52	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
153.33	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
153.63	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
160.40	4.00	NN	1.27	6	1	0	0	n/a	1	15621	21
161.67	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
162.36	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
162.58	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
162.80	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
163.00	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
167.80	4.00	NN	0.82	5	1	0	0	n/a	1	15622	22
168.62	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
169.77	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
170.02	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
170.23	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
174.27	4.00	NN	0.98	5	1	0	0	n/a	1	15623	23
175.25	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
176.28	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
183.25	4.00	NN	0.80	4	1	0	0	n/a	1	15624	24
184.05	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
185.35	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
185.77	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
190.43	4.00	NN	1.10	4	1	0	0	n/a	1	15625	25
191.53	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
192.62	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
193.02	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
197.98	4.00	NY	1.15	4	1	0	1	n/a	1	15626	26
199.13	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
199.90	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
