onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	NN	0.94	6	1	0	0	n/a	0	12101	1
10.98	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
11.87	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
12.42	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
12.68	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
13.00	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
16.42	4.00	YY	0.88	3	1	1	1	n/a	1	12102	2
17.30	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
18.30	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
22.02	4.00	YY	1.17	3	1	1	1	n/a	1	12103	3
23.18	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
23.97	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
24.27	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
28.93	4.00	NN	1.05	5	1	0	0	n/a	1	12104	4
29.98	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
31.28	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
38.07	4.00	YY	0.73	4	1	1	1	n/a	1	12105	5
38.80	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
40.45	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
40.88	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
46.40	4.00	YY	0.87	6	1	1	1	n/a	1	12106	6
47.27	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
54.57	4.00	YN	1.00	3	1	1	0	n/a	1	12107	7
55.56	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
56.88	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
57.73	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
60.23	4.00	NN	0.80	6	1	0	0	n/a	1	12108	8
61.03	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
67.37	4.00	NN	1.00	4	1	0	0	n/a	1	12109	9
68.37	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
75.62	4.00	YY	0.78	3	1	1	1	n/a	1	12110	10
76.40	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
77.55	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
78.20	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
78.78	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
84.05	4.00	NN	1.12	4	1	0	0	n/a	1	12111	11
85.17	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
86.55	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
90.02	4.00	NN	0.93	1	1	0	0	n/a	1	12112	12
90.95	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
92.30	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
92.90	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
97.61	4.00	NN	0.79	3	1	0	0	n/a	1	12113	13
98.40	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
99.98	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
106.65	4.00	YN	1.23	1	1	1	0	n/a	1	12114	14
