onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	YY	1.28	4	1	1	1	n/a	0	15501	1
11.32	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
12.82	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
18.25	4.00	YY	1.25	5	1	1	1	n/a	1	15502	2
19.50	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
20.55	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
23.87	4.00	YY	1.10	6	1	1	1	n/a	1	15503	3
24.97	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
25.85	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
26.07	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
26.28	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
26.52	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
30.52	4.00	NY	1.10	4	1	0	1	n/a	1	15504	4
31.61	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
32.37	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
32.81	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
36.35	4.00	NN	1.31	3	1	0	0	n/a	1	15505	5
37.67	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
42.73	4.00	YY	1.08	5	1	1	1	n/a	1	15506	6
43.82	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
44.72	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
45.00	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
49.82	4.00	NN	0.93	6	1	0	0	n/a	1	15507	7
50.75	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
51.68	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
51.93	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
52.15	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
52.32	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
56.83	4.00	NY	1.08	4	1	0	1	n/a	1	15508	8
57.92	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
58.80	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
62.43	4.00	YN	1.12	4	1	1	0	n/a	1	15509	9
63.55	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
64.47	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
64.77	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
65.07	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
69.45	4.00	NN	0.92	5	1	0	0	n/a	1	15510	10
70.37	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
71.57	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
76.02	4.00	YY	1.13	3	1	1	1	n/a	1	15511	11
77.15	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
78.13	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
