onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a
10.00	4.00	AA	1.29	1	0	0	0	n/a	0	7801	1
11.32	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
12.33	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
12.70	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
17.97	4.00	AC	1.38	3	0	0	1	n/a	1	7802	2
19.35	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
20.17	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
20.40	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
20.63	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
25.44	4.00	CC	1.08	3	0	1	1	n/a	1	7803	3
26.52	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
27.37	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
27.60	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
32.17	4.00	CC	1.35	3	0	1	1	n/a	1	7804	4
33.52	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
34.22	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
34.47	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
39.24	4.00	AA	0.96	6	0	0	0	n/a	1	7805	5
40.20	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
41.09	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
41.58	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
42.52	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
45.02	4.00	AA	1.05	5	0	0	0	n/a	1	7806	6
46.07	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
