onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	AC	0.96	1	0	0	1	n/a	0	8101	1
11.00	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
11.88	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
16.30	4.00	AA	0.80	4	0	0	0	n/a	1	8102	2
17.10	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
18.23	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
18.72	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
18.93	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
22.42	4.00	CC	0.90	4	0	1	1	n/a	1	8103	3
23.32	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
24.40	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
29.87	4.00	AA	0.72	5	0	0	0	n/a	1	8104	4
30.58	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
31.72	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
32.02	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
32.25	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
35.97	4.00	CC	1.00	5	0	1	1	n/a	1	8105	5
36.97	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
37.97	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
38.35	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
39.38	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
42.27	4.00	AA	1.17	1	0	0	0	n/a	1	8106	6
43.43	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
48.05	4.00	CC	1.29	4	0	1	1	n/a	1	8107	7
49.35	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
50.15	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
50.82	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
51.30	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
51.97	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
56.62	4.00	CC	0.90	5	0	1	1	n/a	1	8108	8
57.52	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
58.68	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
58.95	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
59.17	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
64.35	4.00	AA	1.00	6	0	0	0	n/a	1	8109	9
65.35	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
66.57	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
66.95	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
67.27	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
72.85	4.00	CC	0.93	5	0	1	1	n/a	1	8110	10
73.78	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
74.87	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
75.13	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
75.63	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
80.13	4.00	CC	1.00	1	0	1	1	n/a	1	8111	11
81.13	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
81.87	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
82.18	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
87.93	4.00	CC	0.88	5	0	1	1	n/a	1	8112	12
88.82	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
89.75	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
90.23	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
90.53	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
91.42	0	button press	n/a	n/a	n/a	n/a	n/a	54	n/a	n/a	-100
96.03	4.00	AA	1.17	2	0	0	0	n/a	1	8113	13
97.20	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
97.98	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
98.30	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
103.75	4.00	CA	1.28	1	0	1	0	n/a	1	8114	14
105.03	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
105.63	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
105.88	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
106.08	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
106.28	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
106.68	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
